<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20131203;000000;33.2500000;33.2835000;33.2285000;33.2685000;72437000
20131204;000000;33.2300000;33.2800000;33.1170000;33.1815000;3902357000
20131205;000000;33.2400000;33.2400000;32.9500000;32.9855000;5826422000
20131206;000000;33.0225000;33.0795000;32.7000000;32.7000000;4495908000
20131209;000000;32.7600000;32.8230000;32.6400000;32.7525000;3752505000
20131210;000000;32.7200000;32.8300000;32.6450000;32.7005000;5233649000
20131211;000000;32.7185000;32.7905000;32.6900000;32.7780000;3350533000
20131212;000000;32.7200000;32.8075000;32.7090000;32.7915000;4716782000
20131213;000000;32.8000000;32.9000000;32.8000000;32.8505000;3231367000
20131216;000000;32.8500000;32.9500000;32.8400000;32.9025000;3047327000
20131217;000000;32.8725000;32.9800000;32.8295000;32.9695000;3379690000
20131218;000000;32.8600000;32.9890000;32.7500000;32.8140000;2734618000
20131219;000000;33.0340000;33.0345000;32.8830000;32.9900000;4136357000
20131220;000000;32.9775000;33.0390000;32.9550000;32.9800000;4012500000
20131223;000000;32.9455000;33.0145000;32.6070000;32.6610000;5385198000
20131224;000000;32.6795000;32.6870000;32.5310000;32.6400000;4307690000
20131225;000000;32.5600000;32.7600000;32.5600000;32.6905000;2800549000
20131226;000000;32.7465000;32.7465000;32.1240000;32.6665000;3150860000
20131227;000000;32.6505000;32.6700000;32.4785000;32.5945000;5522759000
20131230;000000;32.6700000;32.8545000;32.4500000;32.8350000;2828546000
20140106;000000;33.1880000;33.2920000;33.1020000;33.2125000;585357000
20140108;000000;33.1400000;33.2175000;33.0455000;33.1935000;489923000
20140109;000000;33.1670000;33.2555000;33.0600000;33.2340000;3804017000
20140110;000000;33.2300000;33.2995000;33.0250000;33.0270000;3466560000
20140113;000000;33.0385000;33.2990000;33.0300000;33.2825000;4324755000
20140114;000000;33.2560000;33.3840000;33.2100000;33.3020000;5269089000
20140115;000000;33.3650000;33.4585000;33.3300000;33.4000000;5053774000
20140116;000000;33.4065000;33.4490000;33.3450000;33.4125000;3352123000
20140117;000000;33.3815000;33.6210000;33.3815000;33.5905000;4564179000
20140120;000000;33.5950000;33.8195000;33.5835000;33.7680000;3819807000
20140121;000000;33.7720000;33.9990000;33.7595000;33.9350000;6221214000
20140122;000000;33.9355000;33.9600000;33.8195000;33.9305000;3894200000
20140123;000000;33.9870000;34.2100000;33.9870000;34.1150000;6389626000
20140124;000000;34.1375000;34.6255000;34.1150000;34.5270000;7650382000
20140127;000000;34.6165000;34.8620000;34.4170000;34.6900000;7561575000
20140128;000000;34.6735000;34.8600000;34.4480000;34.7420000;6872862000
20140129;000000;34.5445000;35.3200000;34.4445000;35.1305000;10556446000
20140130;000000;35.2105000;35.4500000;34.7750000;34.9050000;9858544000
20140131;000000;34.9385000;35.3625000;34.9385000;35.1960000;6608164000
20140203;000000;35.1670000;35.4760000;35.0920000;35.4400000;4444526000
20140204;000000;35.4570000;35.5620000;34.9700000;35.0030000;6088827000
20140205;000000;35.0300000;35.0910000;34.2620000;34.8980000;8396359000
20140206;000000;34.8500000;34.8815000;34.5800000;34.6940000;4658805000
20140207;000000;34.6725000;34.8350000;34.5430000;34.7685000;4491312000
20140210;000000;34.7100000;34.8500000;34.6800000;34.7600000;4936136000
20140211;000000;34.7400000;34.8890000;34.6800000;34.7525000;4637252000
20140212;000000;34.7625000;34.8445000;34.7190000;34.8310000;3800309000
20140213;000000;34.8450000;35.2700000;34.8335000;35.1495000;7067336000
20140214;000000;35.1250000;35.3870000;34.9650000;35.0800000;6496662000
20140217;000000;35.1180000;35.3100000;35.0055000;35.2195000;3711759000
20140218;000000;35.2490000;35.4900000;35.1700000;35.4115000;4750234000
20140219;000000;35.5445000;35.8730000;35.5000000;35.7950000;6072298000
20140220;000000;35.8500000;35.9140000;35.6475000;35.7750000;5205042000
20140221;000000;35.7245000;35.8900000;35.4715000;35.4890000;5800779000
20140224;000000;35.5140000;35.6330000;35.3685000;35.4830000;5600746000
20140225;000000;35.4965000;35.7290000;35.4960000;35.7050000;3676933000
20140226;000000;35.7400000;36.0595000;35.7400000;36.0195000;5805221000
20140227;000000;36.0600000;36.2500000;35.9825000;36.0360000;6964140000
20140228;000000;36.1270000;37.0000000;35.2820000;35.8860000;8431440000
20140303;000000;36.6445000;37.0005000;36.1575000;36.5100000;17394392000
