<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20131202;000000;33.2500000;33.2835000;32.7000000;32.7000000;14297124000
20131209;000000;32.7600000;32.9000000;32.6400000;32.8505000;20284836000
20131216;000000;32.8500000;33.0390000;32.7500000;32.9800000;17310492000
20131223;000000;32.9455000;33.0145000;32.1240000;32.5945000;21167056000
20131230;000000;32.6700000;32.8545000;32.4500000;32.8350000;2828546000
20140106;000000;33.1880000;33.2995000;33.0250000;33.0270000;8345857000
20140113;000000;33.0385000;33.6210000;33.0300000;33.5905000;22563920000
20140120;000000;33.5950000;34.6255000;33.5835000;34.5270000;27975229000
20140127;000000;34.6165000;35.4500000;34.4170000;35.1960000;41457591000
20140203;000000;35.1670000;35.5620000;34.2620000;34.7685000;28079829000
20140210;000000;34.7100000;35.3870000;34.6800000;35.0800000;26937695000
20140217;000000;35.1180000;35.9140000;35.0055000;35.4890000;25540112000
20140224;000000;35.5140000;37.0000000;35.2820000;35.8860000;30478480000
20140303;000000;36.6445000;37.0005000;35.9000000;36.4695000;39182331000
20140310;000000;36.4610000;36.7035000;36.3060000;36.5970000;20696171000
20140317;000000;36.6360000;36.7275000;35.8815000;36.2595000;30552487000
20140324;000000;36.2500000;36.2570000;35.3250000;35.7800000;26887549000
20140331;000000;35.7060000;35.7060000;34.9265000;35.3000000;24244777000
20140407;000000;35.3645000;35.8460000;35.3600000;35.6450000;24530954000
20140414;000000;35.9375000;36.2155000;35.4220000;35.6105000;21200708000
20140421;000000;35.6540000;36.0800000;35.5900000;36.0285000;19534896000
20140428;000000;36.0985000;36.1000000;35.5200000;35.8735000;12317877000
20140505;000000;35.8855000;35.8860000;34.7435000;35.0400000;15592106000
20140512;000000;35.2480000;35.2975000;34.5975000;34.7700000;22253870000
20140519;000000;34.7775000;34.7775000;34.0650000;34.1700000;21472976000
20140526;000000;34.0375000;34.9360000;34.0250000;34.8945000;20108081000
20140602;000000;34.9060000;35.2500000;34.3795000;34.4180000;17026993000
20140609;000000;34.4000000;34.4940000;34.2540000;34.4520000;10782745000
20140616;000000;34.4700000;34.8935000;34.1525000;34.4790000;23054413000
20140623;000000;34.4185000;34.4190000;33.5450000;33.7380000;23554336000
20140630;000000;33.7470000;34.5000000;33.7330000;34.4200000;16474662000
20140707;000000;34.4715000;34.6290000;33.7860000;34.2055000;19012482000
20140714;000000;34.3320000;35.2625000;34.2100000;35.1425000;19106958000
20140721;000000;35.1900000;35.2240000;34.7550000;35.1300000;21276099000
20140728;000000;35.3160000;35.9410000;35.2800000;35.7495000;19015928000
20140804;000000;35.6495000;36.5470000;35.6200000;36.1205000;17424726000
20140811;000000;36.1010000;36.3035000;35.8165000;36.1310000;21126513000
20140818;000000;35.9800000;36.3870000;35.9400000;36.1100000;18541007000
20140825;000000;36.1045000;37.2170000;35.9970000;37.1235000;21353290000
